,x,y,z
0,0.0,0.0,0.0
1,0.04439051116458066,0.0,0.0
2,0.08549682652674001,-3.339767033214695e-20,3.499312247162664e-18
3,0.12356192463720153,-2.5735217291138726e-20,-5.141470480820149e-19
4,0.15881080747657428,-9.483296934314023e-21,-1.5077138867950057e-18
5,0.19145183043724662,-3.9710998585476303e-20,3.227841574674082e-18
6,0.22167793390765395,-1.1040236529744213e-19,7.742169225275768e-18
7,0.2496677837387866,-5.852494268518492e-20,-4.513793009207159e-18
8,0.27558682733421247,-9.97566861255202e-20,4.735369651647183e-18
9,0.29958827160614193,-1.1501602236350206e-19,2.4124670092698814e-18
10,0.3218139885782062,-1.349703398579834e-19,3.0028940352652478e-18
11,0.342395353987955,-1.0532605782006918e-19,-2.034192694575255e-18
12,0.36145402384603087,-1.0515892296385832e-19,7.816316249140717e-19
13,0.3791026535422451,-9.487220319189177e-20,-2.5597836092616393e-19
14,0.39544556374917694,-7.336315028325372e-20,-1.5204023397304446e-18
15,0.410579357059438,-5.453355148668624e-20,-1.4171628465138305e-18
16,0.4245934890015296,-6.751746965687611e-20,1.7710815538363582e-18
17,0.43757079680955907,-4.751037863841951e-20,-1.5578132803426105e-18
18,0.44958798907235753,-5.696074942232131e-20,1.3452058509998154e-18
19,0.46071609915630835,-4.8162662775621756e-20,-4.688278714106557e-19
20,0.4710209050820553,-4.280165761807071e-20,-1.9235471315150087e-19
21,0.4805633183369762,-3.377277863830374e-20,-6.158665901789263e-19
22,0.4893997439216811,-2.974092383985797e-20,-1.6589094042048526e-19
23,0.4975824137587645,-2.2521401596309592e-20,-5.273068030854822e-19
24,0.505159695434583,-2.467786039391649e-20,3.960382371910929e-19
25,0.5121763780990222,-2.6744014492951222e-20,4.111584789610798e-19
26,0.5186739372132038,-2.8365042515183587e-20,3.806647648298537e-19
27,0.5246907797100515,-2.5929443742656537e-20,-3.207076713075386e-20
28,0.5302624710168461,-2.2567641511862064e-20,-1.5151202054150041e-19
29,0.5354219452817076,-2.15715825631288e-20,6.928612853875124e-20
30,0.5401997000466396,-2.003253950277475e-20,6.553388172315951e-21
31,0.5446239765178483,-1.8153763138754046e-20,-4.150771901636049e-20
32,0.548720926498906,-1.5819653416184512e-20,-1.0418964978449981e-19
33,0.5525147669735054,-1.4631679777946617e-20,-2.7284235092881738e-21
34,0.5560279232515309,-1.2997728779721914e-20,-5.780134604748173e-20
35,0.5592811615245853,-1.2214397430887982e-20,1.8188858392577957e-20
36,0.5622937116145048,-1.0506786270707036e-20,-8.407947460291043e-20
37,0.5650833806404236,-9.835829424414212e-21,1.0429870056245234e-20
38,0.5676666582762746,-9.162798480846639e-21,5.8164772535204765e-21
39,0.5700588142208999,-8.859382174679996e-21,3.928710534607891e-20
40,0.5722739884569132,-7.969118205388949e-21,-2.426802882439885e-20
41,0.574325274831834,-7.596365640836836e-21,2.2512742672978797e-20
42,0.5762247984555429,-7.315288176818643e-21,2.962717919559971e-20
43,0.5779837873715419,-6.877598628874468e-21,1.1099547635102505e-20
44,0.5796126389256845,-6.381804796050667e-21,1.4608143162369866e-21
45,0.5811209812246607,-6.1323426609825344e-21,2.3345316133608572e-20
46,0.5825177300475325,-5.6186410831980005e-21,-6.088304959068565e-21
47,0.5838111415467111,-5.251442606193407e-21,5.0290004361910025e-21
48,0.5850088610498982,-4.85708659757854e-21,-5.68252508495956e-22
49,0.5861179682514555,-4.581517702264448e-21,8.7732514960475e-21
50,0.5871450190603237,-4.1983547925822264e-21,-4.556734130310238e-21
51,0.5880960843518623,-3.9555219979595795e-21,7.06287945557294e-21
52,0.5889767858526639,-3.662209674211539e-21,-9.64241215486725e-24
53,0.589792329370459,-3.4372372757570336e-21,4.8168581527357755e-21
54,0.5905475355655341,-3.2430335190614873e-21,6.337870586247275e-21
55,0.5912468684455522,-2.987661343378828e-21,-1.5636629417811018e-21
56,0.5918944617522067,-2.7633035257615758e-21,-3.6098401335365753e-22
57,0.5924941433956793,-2.5773636104708816e-21,1.935390463772903e-21
58,0.5930494580813359,-2.402616051526165e-21,1.6862767643251787e-21
59,0.5935636882624034,-2.2298081793112785e-21,5.327724496136457e-22
60,0.5940398735424807,-2.07042132575357e-21,5.895812767196232e-22
61,0.5944808286425725,-1.9121445297720444e-21,-5.291692878517846e-22
62,0.5948891600388408,-1.781943669728929e-21,1.176078590671508e-21
63,0.5952672813694347,-1.6549292496703795e-21,5.15173215016714e-22
64,0.5956174277014499,-1.5317639400775398e-21,-7.17548352086329e-23
65,0.5959416687423641,-1.4170794562447397e-21,-1.4291711140967277e-22
66,0.5962419210740335,-1.3109818025129785e-21,-1.328368811400139e-22
67,0.5965199594815676,-1.2075335454408837e-21,-6.776080258307699e-22
68,0.5967774274440453,-1.1146750489575585e-21,-3.7459938069691724e-22
69,0.5970158468490847,-1.0271853802098175e-21,-5.293130249881772e-22
70,0.5972366269886891,-9.544868252773659e-22,3.4093270301101605e-22
71,0.5974410728895398,-8.836749691545185e-22,-1.751953526555758e-23
72,0.5976303930269837,-8.161138824697485e-22,-2.2888967825701606e-22
73,0.5978057064683028,-7.552916394887194e-22,-4.833698263214727e-23
74,0.5979680494874978,-6.978003230359046e-22,-1.6927896105684575e-22
75,0.5981183816906829,-6.446834835607594e-22,-1.5762816365114525e-22
76,0.598257591688295,-5.958292966108396e-22,-1.2265421982377145e-22
77,0.5983865023476513,-5.508810547050472e-22,-9.181293741688789e-23
78,0.5985058756569026,-5.1052303890160355e-22,4.096845438280211e-23
79,0.5986164172291247,-4.727993633492069e-22,5.268859352381537e-24
